budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.6044466666666666,0.09844673243148698,30
5,drift_triggered,gradual,0.5443133333333333,0.0718932289427599,30
5,drift_triggered,recurring,0.5673733333333334,0.07660482983482825,30
5,error_threshold,abrupt,0.5729866666666666,0.13858011932187236,30
5,error_threshold,gradual,0.5747133333333333,0.11502682965391108,30
5,error_threshold,recurring,0.5966533333333334,0.06002293661210044,30
5,periodic,abrupt,0.6545466666666667,0.06051384414605747,30
5,periodic,gradual,0.6702466666666667,0.05710785158490624,30
5,periodic,recurring,0.5977466666666668,0.06410620354796666,30
10,drift_triggered,abrupt,0.6004066666666666,0.11808782801981237,30
10,drift_triggered,gradual,0.55288,0.07027888484582272,30
10,drift_triggered,recurring,0.5814866666666667,0.08185353923354488,30
10,error_threshold,abrupt,0.6344066666666667,0.1382413729510897,30
10,error_threshold,gradual,0.6226533333333334,0.1296610428115882,30
10,error_threshold,recurring,0.59416,0.07256892847018168,30
10,periodic,abrupt,0.71932,0.046402752593740194,30
10,periodic,gradual,0.7230666666666666,0.04366614196403193,30
10,periodic,recurring,0.49732000000000004,0.09747794233250572,30
20,drift_triggered,abrupt,0.6360600000000001,0.11515649501798665,30
20,drift_triggered,gradual,0.5584666666666667,0.07284510412788425,30
20,drift_triggered,recurring,0.58626,0.08853259131042046,30
20,error_threshold,abrupt,0.6456666666666667,0.14777220431399166,30
20,error_threshold,gradual,0.64314,0.13383133131437983,30
20,error_threshold,recurring,0.61368,0.0722618533409977,30
20,periodic,abrupt,0.7361933333333333,0.049091792511111496,30
20,periodic,gradual,0.7416866666666666,0.041550158581657906,30
20,periodic,recurring,0.58536,0.10050585709472276,30
