budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.7769133333333333,0.04987478620355757,30
5,drift_triggered,gradual,0.7719866666666667,0.045173014017245945,30
5,drift_triggered,recurring,0.7675933333333333,0.03106356034985679,30
5,error_threshold,abrupt,0.77642,0.05070181524329792,30
5,error_threshold,gradual,0.7727266666666667,0.045070901487761925,30
5,error_threshold,recurring,0.76804,0.03119793980819664,30
5,periodic,abrupt,0.7763733333333334,0.049470959320514034,30
5,periodic,gradual,0.7712866666666667,0.045017596048911666,30
5,periodic,recurring,0.7692266666666666,0.031487172356191424,30
10,drift_triggered,abrupt,0.7768866666666666,0.04975467216552482,30
10,drift_triggered,gradual,0.77178,0.0453046804311157,30
10,drift_triggered,recurring,0.7673733333333334,0.030786953498960015,30
10,error_threshold,abrupt,0.7764333333333333,0.05056718530712438,30
10,error_threshold,gradual,0.7720333333333333,0.045606293677391795,30
10,error_threshold,recurring,0.7678466666666667,0.03109090934144834,30
10,periodic,abrupt,0.7752866666666667,0.0487286556869515,30
10,periodic,gradual,0.7698133333333333,0.044061647513559836,30
10,periodic,recurring,0.7678733333333334,0.03149171684562557,30
20,drift_triggered,abrupt,0.77672,0.050315243457007455,30
20,drift_triggered,gradual,0.7713866666666667,0.04586291216924279,30
20,drift_triggered,recurring,0.766,0.030683029118098313,30
20,error_threshold,abrupt,0.7762666666666667,0.05062408676627697,30
20,error_threshold,gradual,0.7719,0.04591890152476845,30
20,error_threshold,recurring,0.7673933333333333,0.031460253340205066,30
20,periodic,abrupt,0.7743133333333334,0.048376103628742666,30
20,periodic,gradual,0.7688466666666667,0.044921561778768083,30
20,periodic,recurring,0.76626,0.030772901200177102,30
